proteinA_entrezid,proteinB_entrezid,databases
11170,202243,hiunion
3298,5546,qubic
4666,55791,APID|biogrid|instruct
1869,7159,inweb
2740,7009,APID|biogrid
6899,23512,encode
6935,727758,encode
8611,136263,intact|hiunion
9815,11151,instruct|APID|biogrid|intact|pina
1312,7316,inweb
3184,9569,qubic
2624,8925,encode|signalink
1131,22870,bioplex
2103,8976,qubic
1269,91869,intact|hiunion
6009,285613,bioplex
7175,51530,bioplex
6657,9611,HIPPIE|HINT-complex
3838,51366,pina|APID|HIPPIE
161742,388969,intact|hiunion
3958,153129,bioplex|HIPPIE
10424,84620,intact|hiunion
9775,55110,inweb
25894,113878,intact|hiunion
6430,10236,CoFrac
2959,5594,encode|signalink
120379,161742,intact|hiunion
55110,100128927,intact|hiunion
6925,58486,encode
50863,257194,APID|intact|litbm17
9801,28977,bioplex
373,7336,innatedb
51319,60682,qubic
5087,134553,bioplex
6717,7316,inweb|HINT-complex
2162,2243,pina|APID|biogrid|inweb
3561,54206,APID|biogrid
26240,220388,intact|hiunion
3009,8028,intact
23379,79664,inweb
6642,29886,pina|inweb
2624,9587,encode
57096,163050,instruct|hiunion|APID|biogrid|HINT-binary|intact
8887,23132,APID|biogrid|instruct|hiunion
54534,57674,qubic
5747,117157,instruct|APID|biogrid|HINT-binary|intact
4043,53353,bioplex|HIPPIE
5018,121457,CoFrac
149461,493869,hiunion
695,83889,signalink
79065,448834,hiunion
857,6683,qubic
5159,6503,inweb|HIPPIE|HINT-complex
801,6262,HIPPIE
10482,60468,intact|hiunion
6597,54487,encode
2928,91464,intact|hiunion
2193,7528,encode
8342,9774,encode
37,58516,bioplex
1269,5349,hiunion
3091,8453,innatedb|HIPPIE|HINT-binary|inweb|HINT-complex
10043,80179,qubic
3656,85463,innatedb
7376,7917,pina|APID|biogrid|instruct
27031,340385,bioplex
6732,10480,innatedb
8648,150709,signalink
4904,93973,signalink
2271,3015,HINT-binary|HIPPIE|HINT-complex
2735,55273,signalink
3609,6228,CoFrac
2355,84962,encode
29950,57542,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
2908,8338,encode
2033,23603,signalink
3300,50626,bioplex|HIPPIE
9659,9873,APID|biogrid|instruct|hiunion
4673,6731,qubic
22852,81565,bioplex
2804,23392,pina|APID|biogrid
602,6169,encode
8892,8892,interactome3d
2017,2260,KinomeNetX
79041,126006,bioplex|HIPPIE
1454,53339,bioplex
3313,10542,APID|intact|instruct
3183,7412,APID|intact|litbm17|HIPPIE
57665,57795,bioplex
65057,203569,instruct|APID|biogrid|HINT-binary|intact|pina
9911,11151,bioplex
6189,10399,HINT-binary
1962,90933,instruct|hiunion|APID|biogrid|HINT-binary|intact
2566,253558,bioplex
2597,5272,instruct|APID|biogrid|HIPPIE|HINT-binary|intact
3215,5089,intact|hiunion
5705,85363,pina|inweb
10987,26471,inweb
983,8370,inweb
7528,553115,encode
4988,23214,bioplex
4528,7284,bioplex
10204,29082,intact|hiunion
1736,56342,bioplex
6792,6792,PhosphoSP|HIPPIE
599,57414,hiunion
29115,84292,instruct|APID|biogrid|mint|intact
9126,9126,qubic
5329,200895,bioplex|HIPPIE
27076,57552,bioplex|HIPPIE
9094,11068,instruct|APID|biogrid|HINT-binary|intact
6925,7701,encode
983,8891,qubic
4175,8351,HIPPIE
6432,10291,CoFrac
6885,23118,instruct|innatedb|APID|signalink|biogrid|HINT-binary|litbm17|inweb|HINT-complex
8928,337974,intact|hiunion
6840,65260,CoFrac
1778,8985,CoFrac
4815,93380,intact|hiunion
6318,55633,bioplex
3958,51077,bioplex
81,399687,qubic
10957,23644,qubic
10171,64282,qubic
5165,22948,qubic
4751,64682,qubic|inweb
672,1500,signalink
389,1499,signalink
10460,220082,bioplex
54541,55183,APID|intact|instruct
4833,59286,intact|hiunion
54776,80351,pina|APID|intact|inweb
5354,120939,intact|hiunion
1958,9917,encode
51655,386676,hiunion
9625,152926,mint|APID|intact|biogrid
79698,341208,bioplex
221656,284467,bioplex
2735,124590,signalink
5204,26206,hiunion
5578,10811,PhosphoSP|inweb|KinomeNetX
7332,7417,CoFrac
142,1050,inweb
8553,10445,intact|hiunion
3831,66008,bioplex|HIPPIE
11007,79571,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2932,29959,instruct|APID|biogrid|mint|intact|pina
3836,5925,signalink
4793,10103,instruct|APID|biogrid|HINT-binary|intact|pina
846,5582,inweb
5089,7324,pina|APID|instruct
4899,55260,encode
11107,199990,hiunion
5925,8503,inweb|HIPPIE
6446,9112,KinomeNetX
648,8971,innatedb|HIPPIE|HINT-complex
5901,6651,CoFrac
1159,1159,HIPPIE
9495,51633,qubic
5594,85358,APID|intact|biogrid|instruct
23126,57862,hiunion
3017,4205,encode
353139,730755,hiunion
1879,10552,signalink
23673,29110,bioplex|HIPPIE
3066,8216,encode
286075,353274,bioplex|HIPPIE
293,3671,bioplex|HIPPIE
6208,6231,HINT-binary|interactome3d|HIPPIE|CoFrac
6772,100506241,encode
229,200958,instruct|APID|biogrid|HINT-binary|intact|pina
2177,4171,HIPPIE|HINT-complex
1032,55145,intact|hiunion
1786,7874,interactome3d|instruct|qubic|APID|biogrid|HIPPIE|HINT-binary|insider|litbm17|inweb|HINT-complex
6886,23645,encode
8736,440050,intact|hiunion
580,8358,HIPPIE
6688,9371,encode
7323,23087,instruct|APID|biogrid|HINT-binary|intact|pina
10127,56942,encode
8661,8666,instruct|qubic|APID|biogrid|HINT-binary|litbm17|inweb|bioplex|CoFrac|HINT-complex
84140,90933,intact|hiunion
8826,8826,interactome3d|instruct|qubic|innatedb|insider
25,1956,PhosphoSP|instruct|APID|signalink|biogrid|HIPPIE|KinomeNetX|HINT-binary|intact|mint|litbm17|inweb|pina
51741,284325,hiunion
126410,148534,intact|hiunion
7316,118429,inweb
7534,55167,pina|APID|biogrid|instruct
7289,9453,bioplex
9320,55011,inweb
857,3654,innatedb
57168,147719,bioplex
55737,81706,CoFrac
4919,9647,mint|APID|intact|biogrid
2534,6655,instruct|APID|intact|inweb|pina
351,59343,innatedb|HIPPIE|HINT-complex
55964,57161,intact|hiunion
29074,54148,inweb|bioplex|HIPPIE
3838,5324,APID|biogrid|litbm17|inweb|pina
11170,55328,APID|biogrid
5702,5711,HINT-binary|inweb|bioplex|HIPPIE
5693,5714,HINT-binary|CoFrac
1962,405754,hiunion
7188,391257,intact
6241,23197,bioplex|HIPPIE|HINT-complex
23595,26092,qubic
7251,63976,hiunion
2648,10891,inweb
80227,134510,HIPPIE|HINT-complex
2997,79818,intact|hiunion
89872,390212,intact|hiunion
51545,79754,hiunion
3575,7534,innatedb
26038,53615,inweb|HIPPIE|HINT-complex
10787,55845,inweb|HIPPIE
10749,22850,qubic
10664,161829,encode
8416,55160,HINT-binary|APID|intact|instruct
813,11055,instruct|APID|biogrid|HINT-binary|intact|pina
11186,60485,APID|HIPPIE|HINT-complex|inweb
3659,4904,innatedb|inweb
3660,5530,innatedb
131616,146664,hiunion
9218,112464,qubic
9656,25988,pina|APID|biogrid
5725,6626,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|mint|litbm17|inweb
5090,51142,encode
5791,5885,encode
23184,254394,hiunion
346,29979,intact|hiunion
2706,390212,intact|hiunion
5195,6351,bioplex
