proteinA_entrezid,proteinB_entrezid,databases
3174,9572,encode
83638,84905,hiunion
571,23764,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb|pina|bioplex
9810,100526767,qubic
7341,9631,qubic
10884,112936,qubic
3064,3551,inweb
26002,50943,signalink
1292,116372,bioplex
2737,83729,signalink
6168,6201,HINT-binary|HIPPIE|CoFrac
23126,374655,intact|hiunion
9204,10127,bioplex
10155,84911,inweb
3848,342574,intact|hiunion
55293,55293,HINT-binary|interactome3d|insider|instruct
3339,3791,instruct|APID|HINT-binary|intact|mint|litbm17|inweb
102,1943,inweb
6886,51312,encode
6872,23509,encode
5993,8968,HIPPIE|HINT-complex
892,90480,intact|hiunion
3576,3661,innatedb
146822,256223,bioplex|HIPPIE
411,3170,encode
7465,84107,KinomeNetX
2669,27185,hiunion
4778,554226,encode
3065,57592,HINT-binary|qubic|HIPPIE|HINT-complex
5582,8874,PhosphoSP
657,10525,qubic
2044,2044,pina
4084,5435,innatedb
7128,55072,inweb|HIPPIE|HINT-complex
11224,118460,qubic
6646,10165,APID|intact
7316,28960,inweb
58513,112464,inweb
409,5524,inweb
10897,29916,intact|hiunion
10682,56935,intact|hiunion
2939,2939,interactome3d|instruct
154,84879,mint|intact
6011,11280,PhosphoSP
55699,56886,qubic
7529,10420,pina|APID|biogrid|inweb
6300,9576,signalink
1499,7189,signalink
5594,7159,PhosphoSP
10432,63948,biogrid
10917,284069,bioplex
1108,3065,qubic|HIPPIE|HINT-binary|inweb|bioplex|CoFrac|HINT-complex
332,10542,intact|hiunion
9802,337970,intact|hiunion
2962,6882,inweb
3356,7022,signalink
1956,643535,biogrid
4831,9815,biogrid
7528,161779,encode
8543,116461,instruct|APID|biogrid|mint|intact|pina
22878,122553,APID|biogrid
255308,284695,CoFrac
64581,203328,hiunion
2342,10664,encode
1500,2932,signalink|HIPPIE
1869,5925,encode|interactome3d|instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
1869,348793,encode|signalink
1956,10044,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17
1436,9402,instruct|APID|HIPPIE|intact|litbm17|inweb|HINT-complex
80258,140710,hiunion
871,1398,CoFrac
988,23157,qubic
3162,55633,bioplex
23136,494119,hiunion
733,23670,bioplex
7185,287015,instruct|hiunion|APID|biogrid|HINT-binary|intact
1994,55666,innatedb
54994,440689,intact
8301,11030,HINT-binary|APID|biogrid|instruct
29101,261726,CoFrac
535,5739,bioplex
55048,337972,intact|hiunion
114990,353139,intact|hiunion
6399,9258,APID|intact
8553,9572,encode
23204,55069,intact|hiunion
7257,57511,intact|hiunion
26206,80778,hiunion
1398,79930,instruct|APID|biogrid|HINT-binary|intact|litbm17
695,79027,KinomeNetX
310,51380,instruct|APID|biogrid|mint|intact|pina
1230,2790,bioplex|HIPPIE
25,2100,PhosphoSP
6652,134492,CoFrac
9463,107080638,hiunion
4171,10681,instruct|APID|biogrid|HINT-binary|intact
55794,65005,CoFrac
7514,84292,signalink
2580,5286,qubic
7533,57449,bioplex
4709,374291,bioplex
8365,653604,HIPPIE
10482,50809,HIPPIE|CoFrac
55558,79913,qubic
51175,284217,qubic
7903,57685,bioplex
8654,51324,intact|hiunion
1956,2034,signalink
51522,147872,instruct|hiunion|APID|biogrid|HINT-binary|intact
1874,6790,signalink
5431,5435,HINT-binary|qubic|inweb
1949,10381,bioplex
2252,2263,instruct|APID|signalink|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
9076,408263,intact|hiunion
313,313,interactome3d|instruct
2040,3170,encode
5588,84433,PhosphoSP|signalink|HIPPIE|KinomeNetX|HINT-binary|inweb|HINT-complex
2176,3550,pina|APID|biogrid
2820,6547,bioplex|HIPPIE
10534,29979,CoFrac
154,10193,APID|litbm17|biogrid
8788,55240,bioplex|HIPPIE
9658,84458,bioplex
23097,50804,CoFrac
8985,26270,HINT-complex
4223,115416,hiunion
23640,342574,intact|hiunion
4791,7316,HINT-binary|inweb
23607,56899,intact
2074,3150,inweb
7415,26608,signalink
158399,221785,bioplex
1398,3815,instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb
55193,126637,CoFrac
7317,92912,HINT-binary|HIPPIE
2622,23028,intact|hiunion
4001,64946,intact|hiunion
10376,57085,instruct|hiunion|APID|biogrid|HINT-binary|intact
6141,6238,qubic
2547,55278,instruct|APID|biogrid|mint|intact|pina
5413,23580,bioplex|HIPPIE
1453,5371,inweb
3320,10188,inweb|HIPPIE|HINT-complex
396,3575,innatedb
4147,4147,HIPPIE
3579,8826,innatedb|intact
2054,9342,intact|hiunion
7857,29970,APID|intact
23495,645345,bioplex
51706,256471,bioplex
5928,57504,HINT-binary|inweb|HIPPIE|HINT-complex
51011,388962,bioplex|HIPPIE
10664,25900,encode
51075,94081,intact|hiunion
6564,57508,bioplex
2104,8668,pina|signalink|instruct
1727,113829,intact|hiunion
4856,399947,intact|hiunion
2710,81037,APID|intact|biogrid|instruct
55703,55718,qubic|HIPPIE|HINT-binary|inweb|bioplex
5452,8353,encode
51684,146540,bioplex
10488,113452,APID|biogrid|instruct|hiunion
375,9043,APID|mint|intact|inweb|pina
5305,10929,bioplex
3646,56902,qubic
5705,57215,APID|biogrid|HIPPIE|intact|bioplex
89941,255043,hiunion
9368,114571,APID
2634,5050,instruct|APID|biogrid|HINT-binary|intact
7408,9567,bioplex|HIPPIE
351,84224,innatedb
23641,54540,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
9911,401508,HINT-binary|APID|biogrid|instruct
2593,51341,encode
3872,6469,signalink
212,54971,instruct|hiunion|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact
40,9399,inweb
11030,51179,bioplex
4582,4815,hiunion
30968,128866,qubic
3841,10140,signalink
60,4233,signalink
3688,57147,intact
8314,10743,qubic
3932,59341,inweb
2783,4916,bioplex
6709,7168,qubic
3159,5036,APID|litbm17|biogrid
351,90326,HIPPIE|HINT-complex
83719,100528019,hiunion
8291,24140,qubic
53916,81855,qubic
1457,3725,PhosphoSP|instruct|APID|biogrid|HIPPIE|KinomeNetX|HINT-binary|litbm17|inweb
257,23499,bioplex
84126,151194,instruct|hiunion|APID|biogrid|HINT-binary|intact
22953,347688,bioplex
23584,57650,bioplex|HIPPIE
3860,100132565,hiunion
1973,1981,instruct|APID|HINT-binary|intact|litbm17|inweb|pina|bioplex|CoFrac|HINT-complex
968,3895,hiunion
2733,11269,interactome3d|instruct
3224,57761,hiunion
11020,64792,inweb
154,27032,innatedb
351,2827,pina|inweb
836,1956,innatedb
11091,22976,HIPPIE|HINT-binary|inweb|bioplex|HINT-complex
6318,83416,bioplex
1994,9885,innatedb
8491,50618,instruct|APID|biogrid|HINT-binary|intact|pina
2264,5599,KinomeNetX
6128,8266,pina
7024,148932,instruct|hiunion|APID|biogrid|HINT-binary|intact
2335,55589,instruct|APID|intact|litbm17|pina
5903,10482,qubic|HIPPIE|HINT-binary|inweb|HINT-complex
1728,7157,inweb|HIPPIE|HINT-complex
1958,10962,innatedb
5595,9261,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb
29102,79753,inweb
5347,5923,inweb
2841,5268,bioplex|HIPPIE
6855,84187,bioplex
2113,6667,inweb|HIPPIE
9927,54708,HIPPIE|HINT-binary|inweb|bioplex|HINT-complex
7388,84516,bioplex
57644,85444,bioplex
2113,54487,encode
57414,79922,hiunion
7316,342538,inweb
1869,7158,inweb
5713,80212,bioplex
27230,345275,hiunion
815,84433,PhosphoSP|KinomeNetX
9775,84271,innatedb|HIPPIE|HINT-binary|inweb|pina|HINT-complex
10171,23397,qubic
3191,7341,HIPPIE
23204,125170,hiunion
10009,81037,qubic
1612,3983,APID
5516,79365,APID|biogrid
5601,5925,inweb|HIPPIE
386675,440021,hiunion
7536,25939,HINT-binary|qubic|HIPPIE
1915,10084,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|pina
1452,51517,bioplex
9248,221188,bioplex
5430,6829,instruct|qubic|APID|HINT-binary|intact|litbm17|inweb|CoFrac|HINT-complex
1789,81631,instruct|APID|biogrid|mint|intact|pina
7852,8027,HIPPIE|HINT-complex
2494,6714,pina|instruct
4591,7528,signalink
6772,53840,encode
7252,79937,bioplex
83902,117144,intact|hiunion
7186,284467,bioplex
23294,65125,KinomeNetX
11030,118738,instruct|hiunion|APID|biogrid|HINT-binary|intact
2317,286262,qubic
1763,5567,bioplex
1053,2845,instruct|APID|biogrid|HINT-binary|intact
2263,3841,signalink
10296,51646,qubic|HIPPIE
367,23509,signalink
219854,345274,intact|hiunion
2661,26232,bioplex
89122,89122,HIPPIE|HINT-complex
596,3303,HIPPIE
2956,57179,qubic
2317,7464,qubic
1808,1808,interactome3d|instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|insider|mint
8674,11311,bioplex
55138,388677,intact|hiunion
5001,23595,interactome3d|instruct|APID|biogrid|HINT-binary|intact|litbm17|inweb|pina|CoFrac|HINT-complex
1457,10062,PhosphoSP|KinomeNetX
2306,200523,intact|hiunion
379,9266,APID|biogrid
1738,51493,APID|intact
5563,84069,hiunion
6607,115265,intact
51121,79159,bioplex|HIPPIE
84926,84926,interactome3d
2688,5885,encode
7316,29086,inweb
7048,56957,KinomeNetX
8835,10664,encode
6176,84164,instruct|APID|biogrid|HINT-binary|intact|pina
6844,219931,bioplex
613,6722,encode
3575,9576,signalink
10120,79848,bioplex|HIPPIE
902,7157,APID|litbm17|biogrid|inweb
4017,10956,bioplex
9255,9456,intact|hiunion
2146,5927,inweb
2801,11099,intact|hiunion
226,57829,intact
4801,83592,encode
7379,8600,intact|hiunion
7102,84868,bioplex
637,4170,interactome3d|instruct|APID|HIPPIE|HINT-binary|intact|insider|litbm17|inweb|HINT-complex
7846,115106,inweb
25778,54849,bioplex
3141,83931,KinomeNetX
9933,23144,bioplex|HIPPIE
7391,80020,encode
3107,3133,interactome3d|bioplex|HIPPIE
8405,8405,interactome3d|instruct|HIPPIE|HINT-binary|HINT-complex
7542,100534611,hiunion
5594,6050,KinomeNetX
6238,9652,qubic
22836,54764,intact|hiunion
6222,9093,CoFrac
1107,7105,instruct|APID|biogrid|HINT-binary|intact
3801,388336,hiunion
7514,11279,inweb
6622,8666,instruct|APID|biogrid|mint|intact|pina
1975,23170,qubic
115572,100132341,intact
2113,5916,signalink
200523,337972,intact|hiunion
8440,84221,hiunion
2735,118442,signalink
8924,11196,HIPPIE|HINT-complex
6168,317772,bioplex
3162,3162,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary
4931,51177,bioplex
518,84514,bioplex
27132,146705,hiunion
7204,7741,qubic
1200,4778,encode|signalink
4121,9467,intact
57002,220064,hiunion|APID|biogrid|intact|inweb
1859,2308,PhosphoSP|KinomeNetX
4193,65264,instruct|APID|biogrid|HINT-binary|intact|pina
3673,3958,bioplex|HIPPIE
6935,79087,encode
3895,10908,qubic
2475,64223,interactome3d|instruct|innatedb|APID|HIPPIE|HINT-binary|intact|insider|inweb|bioplex|HINT-complex
7368,57552,bioplex
54539,374291,bioplex
8881,123016,bioplex
2648,8870,encode
9391,79441,intact|hiunion
10277,55737,CoFrac
8350,23269,HIPPIE
1642,57727,CoFrac
10103,283420,intact
1670,4223,hiunion
81833,85027,hiunion
3151,27250,intact
318,318,interactome3d|insider|instruct
9409,390212,intact|hiunion
817,8473,bioplex
147872,254428,intact|hiunion
6125,8266,pina
1639,57473,instruct|APID|biogrid|mint|intact|pina
6238,65083,qubic
988,9659,instruct|APID|biogrid|HIPPIE|intact|pina
117178,158427,APID|intact|biogrid|hiunion
50943,151525,signalink
7532,23216,HINT-binary|inweb|HIPPIE
5201,7025,instruct|APID|biogrid|mint|intact|pina
2959,152687,encode
3565,3725,innatedb
9775,10921,HIPPIE|HINT-binary|inweb|CoFrac|HINT-complex
3895,9694,qubic
5536,6198,qubic
4077,4215,inweb
1813,79948,mint|intact
25885,25885,qubic
5148,84456,instruct|hiunion|APID|biogrid|HINT-binary|intact
5261,51422,bioplex
3476,10130,CoFrac
2353,7205,innatedb
4001,11342,inweb
6427,7913,inweb
4205,57018,encode
3671,6687,bioplex|HIPPIE
6597,51343,encode
9189,23028,instruct|hiunion|APID|biogrid|intact|mint|pina
998,81704,APID|biogrid|HIPPIE|inweb|pina
51645,55425,bioplex
5624,11346,qubic
5600,84517,signalink
1869,64841,encode
463,80258,hiunion
50649,55763,intact
1107,8848,instruct|APID|biogrid|mint|intact|pina
5700,220134,qubic
25977,115265,intact
3565,50943,signalink
3757,23178,inweb
1869,6667,inweb|HINT-complex
23204,55294,instruct|APID|biogrid|HINT-binary|intact
51053,79991,bioplex
5604,7415,HIPPIE|HINT-complex
8338,8353,HIPPIE
3040,3885,intact
3009,440689,intact
1432,2534,PhosphoSP|KinomeNetX
4920,219736,intact|hiunion
2100,5910,signalink
10038,11083,mint|APID|intact|pina
367,65018,signalink
5885,8968,HIPPIE|HINT-complex
7073,7073,innatedb
2,5309,innatedb
3192,84946,qubic
4149,64975,qubic
23358,55662,bioplex|HIPPIE|HINT-complex
1453,1454,qubic|bioplex|inweb
310,23564,instruct|APID|biogrid|mint|intact|pina
8417,64689,bioplex|HIPPIE
8906,10053,bioplex|inweb
23005,375791,intact|hiunion
394,3024,intact
6491,7316,inweb
10668,146456,bioplex
9258,55622,APID|intact
7203,90665,bioplex
6462,8681,pina
8078,339976,inweb
3717,80306,KinomeNetX
4000,59343,APID|biogrid
6541,55334,intact|hiunion
54682,80196,bioplex
6462,6625,pina|APID|biogrid
64581,100506658,instruct|hiunion|APID|biogrid|HINT-binary|intact
11091,259282,bioplex|HIPPIE|HINT-complex
988,11346,intact|hiunion
1915,5894,inweb
5585,7533,KinomeNetX
54899,84196,bioplex
5092,84105,instruct|APID|biogrid|inweb|pina
23002,51184,bioplex|HIPPIE
4839,400506,bioplex
8905,10586,intact|hiunion
4172,26260,pina
7289,57542,bioplex
3270,79983,bioplex
6667,55702,encode
126961,554313,HIPPIE
862,337973,intact|hiunion
55319,386675,instruct|hiunion|APID|biogrid|HINT-binary|intact
1654,1965,HINT-binary|inweb|HIPPIE
2060,2060,instruct|APID|HIPPIE|HINT-binary|intact|mint|litbm17|HINT-complex
602,10319,encode
163227,353323,intact|hiunion
8792,50943,signalink
7341,55553,inweb
7549,23212,bioplex
9553,90480,interactome3d
25909,57122,instruct|qubic|APID|HIPPIE|HINT-binary|intact|litbm17|inweb
28976,100506658,bioplex
7112,7343,qubic
4899,10762,encode
3066,10363,qubic|HIPPIE|HINT-binary|bioplex|HINT-complex
8688,84832,intact
3321,5901,intact
2624,5664,signalink
1399,5296,instruct|APID|biogrid|HIPPIE|litbm17|inweb|pina|HINT-complex
80184,147912,encode
23410,254042,bioplex
22900,55689,bioplex|HIPPIE
3054,54985,instruct|HIPPIE|inweb|bioplex|HINT-complex
5515,85369,qubic|HIPPIE|HINT-binary|inweb|HINT-complex
708,1936,bioplex
6872,9487,encode
9582,79801,qubic
114771,200232,intact|hiunion
6633,57819,instruct|APID|biogrid|HINT-binary|intact|mint|litbm17|inweb|pina
4067,9846,signalink|inweb
5885,6205,pina
8692,375791,intact|hiunion
3938,6714,inweb
53615,57473,inweb
3965,4035,bioplex
605,10487,bioplex
5450,115572,intact|hiunion
4233,55585,signalink
1108,8352,HIPPIE
2773,440193,instruct|hiunion|APID|biogrid|intact
2175,51582,pina|APID|biogrid
79415,339302,hiunion
5565,54442,instruct|APID|biogrid|HINT-binary|intact|pina
6628,10073,inweb
5686,7494,inweb
146542,202559,biogrid|hiunion
64081,80258,instruct|hiunion|APID|biogrid|HINT-binary|intact
5687,56658,instruct|hiunion|APID|biogrid|HINT-binary|intact
2052,8641,bioplex
10971,221178,bioplex
4698,374291,inweb
9412,80306,HIPPIE|inweb|bioplex|CoFrac|HINT-complex
51619,55819,instruct|APID|biogrid|HINT-binary|intact|pina
3185,4670,instruct|hiunion|qubic|APID|biogrid|HINT-binary|intact|inweb|CoFrac
10392,55054,innatedb|inweb|HIPPIE|HINT-complex
1131,5338,bioplex
1499,8295,inweb|HIPPIE|HINT-complex
10540,29888,CoFrac
6613,11016,inweb|HIPPIE
6256,9970,interactome3d|instruct|HIPPIE|HINT-binary|insider|inweb|HINT-complex
1400,27341,bioplex|HIPPIE
5777,5782,bioplex|HIPPIE|HINT-complex
29119,84056,hiunion
6143,7412,APID|intact
667,10979,intact
2931,4286,PhosphoSP|KinomeNetX
2033,4851,instruct|APID|biogrid|HIPPIE|litbm17|inweb|HINT-complex
3597,7316,inweb
9443,84246,instruct|APID|HINT-binary|intact|inweb|bioplex|HINT-complex
6418,9014,inweb
10651,10651,qubic
873,22916,qubic
1874,83593,signalink
808,23604,HINT-binary|interactome3d|instruct
1739,27237,intact
27342,57699,bioplex
1385,3232,innatedb
2624,7089,signalink
7538,11340,instruct|APID|biogrid|intact|inweb|pina
3984,3984,instruct|qubic|HIPPIE|HINT-binary|insider|HINT-complex
5295,55589,signalink
421,7253,signalink
51157,386675,hiunion
81851,440023,intact|hiunion
2624,149420,signalink
6500,51074,instruct|hiunion|APID|biogrid|HINT-binary|intact
10664,25926,encode
1634,5320,inweb|HIPPIE
3910,29992,bioplex|HIPPIE
5970,6821,hiunion
10656,58155,instruct|APID|biogrid|mint|intact|pina
7329,23650,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
3315,3611,HINT-binary|HIPPIE
4066,51264,innatedb
7804,9479,pina|APID|biogrid
90,9604,KinomeNetX
3693,7709,APID|biogrid|inweb
3676,7041,inweb
10695,200232,intact|hiunion
3685,119180,bioplex
2648,23411,inweb|HIPPIE|HINT-complex
1314,23094,qubic
5295,8928,pina|APID|intact|instruct
5600,284382,signalink
1603,6185,bioplex
7316,8334,inweb
5563,10241,intact|hiunion
7726,222389,hiunion
675,4088,inweb
2114,6688,inweb
23617,619208,intact|hiunion
2260,8795,bioplex|HIPPIE
2580,22848,inweb
7341,9212,inweb|HIPPIE|HINT-complex
7412,7536,APID|intact|litbm17|HIPPIE
1559,9545,instruct|APID|biogrid|HINT-binary|intact
9620,11249,bioplex|HIPPIE
7873,25871,intact
7314,55294,interactome3d
5049,57455,instruct|APID|biogrid|HINT-binary|intact|pina
9659,285093,instruct|hiunion|APID|biogrid|HINT-binary|intact
10488,94101,instruct|hiunion|APID|biogrid|intact|mint|pina
7589,9733,bioplex
6915,51094,hiunion
932,51368,intact|hiunion
2475,54557,qubic
648,50809,innatedb
1876,283237,encode
1026,2244,instruct|APID|biogrid|mint|intact|pina
26059,28964,pina|inweb
9500,23543,instruct|hiunion|APID|biogrid|HINT-binary|intact
5339,84131,qubic
8996,54386,instruct|APID|biogrid|HINT-binary|intact
9145,51001,hiunion
5682,100653049,hiunion
6867,9821,qubic
85441,140564,bioplex
892,10575,inweb
3104,23244,qubic
3875,7316,inweb|HINT-complex
3169,84937,encode
1021,7015,biogrid
6886,7036,encode
2011,9638,PhosphoSP
4124,119180,bioplex
10664,23532,encode
154313,389766,hiunion
7412,7458,APID|intact
993,8673,instruct|APID|biogrid|HINT-binary|intact
5562,66008,bioplex|HIPPIE
3791,23291,instruct|APID|biogrid|HIPPIE|intact|mint|litbm17|inweb|pina
10613,79089,bioplex
4303,7514,innatedb|inweb
51082,84265,bioplex
55177,65125,APID|intact|instruct
3608,4343,HIPPIE|bioplex|CoFrac
10464,57332,hiunion
672,2119,pina|APID|biogrid|inweb
10320,25852,bioplex
2353,54882,encode
9212,220134,inweb
23137,79677,instruct|qubic|APID|HINT-binary|intact|litbm17|inweb|HINT-complex
3308,7189,inweb|HIPPIE
4904,388569,bioplex
2319,9961,intact
213,2200,inweb
54496,199745,bioplex|HIPPIE
142,83666,inweb|HIPPIE|HINT-complex
9356,29957,bioplex
7391,542767,encode
6443,7124,intact|hiunion
3358,9772,mint|intact
5650,7490,instruct|APID|biogrid|HINT-binary|intact|mint
9489,55795,HINT-binary|instruct
6125,50809,CoFrac
672,375748,encode
3727,27314,encode
5905,57122,qubic|inweb|HIPPIE
8335,9858,intact
3183,22938,inweb
55173,64960,bioplex
6399,85021,APID|intact|instruct
9495,79711,qubic
55759,84365,inweb|bioplex|HIPPIE
27183,51534,bioplex|inweb|HINT-complex
79839,84984,instruct|hiunion|APID|biogrid|HINT-binary|intact
8356,10943,HIPPIE
4609,4926,pina
3315,3831,APID|litbm17|biogrid
2113,25853,signalink
6872,51016,encode
81622,89885,intact|hiunion
5577,26747,bioplex
55920,81556,qubic
9296,51026,qubic
6477,7707,instruct|hiunion|APID|biogrid|HINT-binary|intact
9260,25865,APID|biogrid|HIPPIE|mint|intact|pina
7307,10664,encode
2551,5917,encode
3170,677768,encode
3630,54507,hiunion
54793,100132341,intact
8916,29979,innatedb|inweb|HIPPIE|HINT-complex
6500,55813,qubic
4609,57805,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
28998,65003,CoFrac
818,8826,qubic
56478,84260,intact|hiunion
5565,5966,APID|biogrid|instruct|hiunion
23635,23648,bioplex|HIPPIE|HINT-complex
6449,8324,intact|hiunion
1111,54883,PhosphoSP
131616,222662,hiunion
4223,55652,instruct|hiunion|APID|biogrid|HINT-binary|intact
9576,10188,signalink
5683,5692,qubic|HINT-binary|inweb|bioplex|CoFrac|HINT-complex
5371,9869,inweb
7157,8522,signalink
10430,120939,intact|hiunion
9879,51631,bioplex|HIPPIE
6804,387923,intact|hiunion
5295,5318,signalink
3550,7448,CoFrac
3654,55072,inweb
967,1958,encode
1582,4070,bioplex
2332,54849,intact
113829,390212,intact|hiunion
2623,51517,signalink
6342,11031,CoFrac
857,64838,bioplex|HIPPIE
79872,140690,encode
8290,55761,intact
5885,11095,encode
648,79922,innatedb
2113,9373,signalink
7294,116449,instruct|APID|biogrid|HINT-binary|intact
1499,8648,signalink
29934,57142,CoFrac
54534,64983,qubic|HIPPIE|HINT-binary|inweb|bioplex|CoFrac
58473,84662,hiunion
945,55273,intact|hiunion
29126,57508,bioplex|HIPPIE
1974,120379,instruct|hiunion|APID|biogrid|HINT-binary|intact
89790,400709,bioplex
115548,728378,qubic
9128,51444,qubic
2033,10783,signalink
30000,114990,bioplex
4298,92747,bioplex
91408,167838,instruct|hiunion|APID|biogrid|HINT-binary|intact
9296,84898,bioplex
6453,55614,pina|APID|biogrid|instruct
5885,25976,encode
2237,6647,APID|intact
2100,4188,APID|intact
694,9337,instruct|hiunion|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|mint|litbm17|inweb|pina
1876,9618,encode
57142,84816,inweb
2932,9862,instruct|APID|biogrid|mint|intact|pina
3192,23524,CoFrac
6181,55578,intact
7567,84707,hiunion
5092,84708,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
5295,9228,APID|intact|instruct
695,10333,innatedb|APID|biogrid|inweb
5156,6794,biogrid
9027,81853,hiunion
83901,353137,intact|hiunion
7316,8266,inweb
2051,64757,hiunion
3881,23294,hiunion
7514,55023,signalink
4801,55702,encode
3678,22998,qubic
54331,259249,pina|APID|biogrid
55633,283234,intact|hiunion
134,2782,interactome3d|instruct
1968,6045,innatedb
9610,10254,inweb|HIPPIE|HINT-complex
580,56672,APID|biogrid
6794,57402,instruct|APID|biogrid|HINT-binary|intact|mint
891,115426,pina|APID|litbm17|biogrid
6005,6886,encode
11034,391257,intact
10782,152687,encode
22916,55596,qubic|HIPPIE
6421,6908,encode
2316,9499,inweb
55138,93166,intact|hiunion
8809,30009,innatedb
643,2771,instruct|APID|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
421,7535,signalink
2747,84861,bioplex
5830,10455,inweb|HIPPIE
23466,57717,bioplex
50813,53339,qubic|bioplex|HIPPIE
8663,29088,CoFrac
7091,92129,bioplex
6135,6217,HINT-binary|HIPPIE|CoFrac
2804,54906,intact
10953,65057,instruct|APID|biogrid|HINT-binary|intact|pina
78990,594855,bioplex
10095,23603,qubic
27,9402,signalink
3927,84872,hiunion
2054,6047,intact|hiunion
4609,10379,signalink
3359,91289,bioplex
9051,55284,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|mint|pina
492,8630,bioplex|HIPPIE
7469,25920,qubic|HIPPIE|HINT-binary|inweb|bioplex|HINT-complex
1196,9025,intact|hiunion
2207,9554,hiunion
63875,124995,bioplex
4236,24144,intact|hiunion
5880,10880,signalink
57380,64805,bioplex|HIPPIE
7290,7975,encode
204,6668,encode
4643,4673,qubic
2720,10159,qubic
9975,27185,intact
5708,51377,HIPPIE|HINT-binary|inweb|bioplex|CoFrac|HINT-complex
5691,55120,hiunion
3359,57555,bioplex
8417,8724,CoFrac
5450,337972,intact|hiunion
3959,27229,bioplex
9252,79637,signalink
55714,440533,bioplex
10801,126353,qubic
1460,7020,APID|litbm17|biogrid|inweb
7520,51574,HIPPIE|HINT-complex
1152,4292,pina|APID|intact|biogrid
5692,5705,qubic|HINT-binary|inweb|CoFrac|HINT-complex
5878,9114,qubic
3104,55720,bioplex
9733,338657,bioplex|HIPPIE
10412,84549,bioplex
28951,406885,signalink
7316,401505,inweb
6202,9775,pina|inweb
3192,26233,qubic
1525,157567,hiunion
4695,4700,HINT-binary|inweb|HIPPIE
56963,152185,qubic
5606,26277,instruct|APID|biogrid|HINT-binary|intact|pina
6636,51340,bioplex
7314,8409,bioplex
6997,9049,bioplex|HIPPIE
8038,83606,hiunion
58500,80817,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
3895,6146,qubic
4172,25844,bioplex
50813,132864,APID|biogrid
4000,84314,APID|biogrid
79065,386681,instruct|hiunion|APID|biogrid|HINT-binary|intact
28998,79590,CoFrac
22995,79760,qubic
22936,85403,hiunion|HIPPIE|intact|inweb|bioplex|HINT-complex
818,11140,hiunion
1958,8851,innatedb
6493,7265,APID|intact|instruct
818,7022,signalink
57474,84445,instruct|hiunion|APID|biogrid|HINT-binary|intact
444,79770,hiunion
3880,23028,instruct|APID|biogrid|mint|intact|pina
2908,55672,encode
3875,3875,instruct|hiunion|APID|biogrid|HINT-binary|intact
11161,56901,instruct|APID|biogrid|HINT-binary|intact|pina
9924,255488,pina|APID|biogrid
6610,10712,bioplex
583,3875,pina|APID|intact|biogrid
7031,8370,inweb
4544,79711,APID|intact|biogrid
4001,7391,encode
10461,25852,signalink
3995,203111,bioplex
1778,6993,HINT-binary|HIPPIE|CoFrac
6175,140801,HINT-binary|HIPPIE|CoFrac
28512,50943,signalink
1869,9779,encode
660,116449,instruct|APID|biogrid|HINT-binary|intact
5571,112770,bioplex|HIPPIE
11326,23677,bioplex|HIPPIE
4211,84915,bioplex
4853,91526,bioplex|HIPPIE
6772,79934,encode
26156,400224,intact
351,4302,innatedb
983,285190,PhosphoSP
1655,10011,pina
3884,3892,intact|hiunion
55578,93624,inweb|bioplex|HIPPIE
2358,10560,bioplex
3008,3835,intact
6915,389336,hiunion
358,57047,intact|hiunion
55132,645121,bioplex|HIPPIE
84283,170575,intact|hiunion
1027,5591,PhosphoSP
1969,8678,biogrid
4753,11151,bioplex
4253,9618,bioplex
7533,7534,qubic|HIPPIE|HINT-binary|inweb|HINT-complex
546,8355,HIPPIE
7248,84941,instruct|APID|biogrid|HINT-binary|intact|litbm17
9500,91694,intact|hiunion
472,8626,PhosphoSP|KinomeNetX
2624,79616,signalink
6773,23070,encode
9796,9796,HINT-binary|APID|intact|instruct
7450,7975,encode
10138,79710,bioplex
9491,9500,instruct|APID|biogrid|HINT-binary|intact
2746,3263,APID|intact|biogrid|instruct
54471,643161,hiunion
830,60312,qubic
94081,139322,HIPPIE
54535,83878,instruct|hiunion|APID|biogrid|HINT-binary
4670,23450,CoFrac
3725,83931,encode|signalink
